55354516e9c358700bd52317,Village Books,Speculative Fiction Book Group,"The aim of this book group is to enjoy reading provocative science fiction (and occasional fantasy) stories and discussing the themes they might present, in both the original context and for readers as individuals today. Science fiction and fantasy can be a great escape, but it can also be a great way to examine social issues and alternative viewpoints or identities. Historically, science fiction has often been used as a way of commenting on the biases of the age in which it is written, using metaphors such as the creation of robots, alternative relationships between alien species, and the colonization of other worlds to show contemporary problems or questions in a new light. This group meets the third Monday of every month at 7pm in the writing corner on the mezzanine level of Village Books.",4/20/2015 7:00pm,4/20/2015 8:00pm,start,55352fda846af9640a518a0b,
55354516e9c358700bd52317,Village Books,Sharpen Your Saw Business Book Group,"No matter what business or profession you have chosen, the most important asset you have to preserve and develop is your mind.<br />Join VB the third Tuesday of every month for a fast-paced dialogue facilitated by Mike Cook, local business coach and faculty member at WWU. Authors DO NOT attend.<br />Pick up a take-out or brown-bag lunch from a nearby cafe, or bring something from home to enjoy while discussing.",4/21/2015 11:00am,4/21/2015 1:00pm,start,55352fda846af9640a518a0b,
553544e0e9c358700bd52313,"Fairhaven Runners & Walkers, 1209 11th Street","""Catch the Wave"" special All-Paces Run","A Fairhaven Runners & Walkers free weekly drop-in run, led by store staff and volunteers, “All Paces” is a 20-minutes-out and 20-minutes-back run on two key routes—by the water or through the woods. Participants group-up by pace, ranging from run/walk to seven-minute-mile pace.<br />TONIGHT: it’s a special edition of the All-Paces run, partnered by Mizuno. Who cares if it’s only April -  be ready to hit the beach at this tropical themed All-Paces Run.<br />Follow a waterfront-hugging course with some running-over-water dock crossings.<br> Experience Mizuno’s Wave technology in a demo pair of Rider or Inspire shoes.<br>Wear a Hawaiian shirt or other beach-like clothes and you’ll get an extra raffle ticket for store gift certificates in the after-run drawing.<br>Afterward, relax with rejuvenating treats, prizes and raffles.<br>~ 5:45: sign-in; check-out a tester pair of Rider or Inspire shoes.<br>~ 6:00: the run begins- choose your pace.",4/21/2015 5:45pm,4/21/2015 7:00pm,start,55352fda846af9640a518a07,
553544f0e9c358700bd52314,Skylark's Hidden Cafe,Trivia Night at Skylark's,"Join the trivia fun on Tuesdays at Skylark's. John, the host, uses a power point presentation so everyone knows exactly what the questions are.",4/21/2015 6:30pm,4/21/2015 8:00pm,start,55352fda846af9640a518a08,weekly
55354503e9c358700bd52315,Fairhaven Library,Scottish Country Dance Class,"$8 drop-in / first class free<br />Beginners and intermediate dancers can learn and enjoy Scottish Country Dancing in Fairhaven every Wednesday. The first half-hour is reserved for beginners. No partner or experience needed, but soft-soled shoes or slippers are recommended.",4/22/2015 7:00pm,4/22/2015 9:30pm,start,"55352fda846af9640a518a07,55352fda846af9640a518a04",weekly
5535450ee9c358700bd52316,Fairhaven Bicycle,Thursday Night Ride,"Every Thursday night cyclists meet in front of Fairhaven Bicycle for a 13.8-mile mountain bike (or cyclocross) ride following some road and the interurban trail up to the Lake Padden trail system, and following  the same path back to the shop. Expect around 1,300 feet of climbing. Lights are mandatory during the darker months. Meet in front of the shop around 5:00pm to be ready for the 5:15 start.",4/23/2015 5:00pm,4/23/2015 7:00pm,start,55352fda846af9640a518a07,weekly
55354516e9c358700bd52317,Village Books,VB Writes: Fiction Writing Group,"Are you a fiction writer in search of a writing group? Join this group the second and fourth Thursday of each month. Meet other writers who can provide feedback and perhaps help you reach your writing goals. Newcomers and drop-ins welcome.",4/23/2015 6:00pm,4/23/2015 8:00pm,start,55352fda846af9640a518a0b,bi-monthly
55354516e9c358700bd52317,Village Books,Bruce Barcott - Weed the People,"Washington State and Colorado have established the world’s first legal and state-regulated marijuana industries and, in doing so, have carried out one of the most remarkable about-faces in American history. The magnitude of the change in America's relationship to marijuana can't be measured in only economic or social terms: There are deeper shifts going on - cultural realignments, social adjustments, and financial adjustments. The place of marijuana in our lives is being rethought, reconsidered, and recalibrated. In 2012, Bruce Barcott reluctantly voted for legalization in his home state of Washington; the next morning he wondered, “What have we done?” Weed the People addresses the booming pot industry and looks at the legal, social, cultural, and personal changes brought about by the changing status of the world’s most controversial plant.<br />Bruce Barcott, author of The Last Flight of the Scarlet Macaw and The Measure of a Mountain: Beauty and Terror on Mount Rainier, is a contributing editor at Outside magazine. His feature articles have appeared in The New York Times Magazine, Mother Jones, Sports Illustrated, Harper's, Utne Reader, and other publications. He contributes reviews to The New York Times Book Review and the public radio show Living on Earth, and is a former Ted Scripps Fellow at the University of Colorado. He lives in Seattle.",4/23/2015 7:00pm,4/23/2015 8:00pm,start,55352fda846af9640a518a0b,
55354503e9c358700bd52315,Fairhaven Library,Fourth Corner Folk Dance,"Be part of an evening of music and dance, participating in or learning Balkan, Romani, Greek, Turkish and Israeli folk dances with live and recorded music.  All ages welcome and no partner is necessary, but bring clean soft-soled shoes for dancing and a bottle of water. Finger food potluck items welcomed. ",4/23/2015 7:30pm,4/23/2015 10:00pm,start,"55352fda846af9640a518a07,55352fda846af9640a518a04",weekly
553544f0e9c358700bd52314,Skylark's Hidden Cafe,Jazz Show: Chad Peterson,Enjoy some casual jazz guitar with vocals at Skylark’s.,4/23/2015 8:00pm,4/23/2015 11:55pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a06",
